2018-10-26 17:57:30.3380 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 17:57:30.3380 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 17:57:30.9215 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 17:57:36.5729 | TRACE | Transliteration.ViewModels.SignInViewModel | User close app.
2018-10-26 17:59:15.0445 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 17:59:15
2018-10-26 17:59:15.2838 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 17:59:15.2838 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 17:59:15.8225 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 17:59:34.8757 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 17:59:34
2018-10-26 17:59:35.1290 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 17:59:35.1290 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 17:59:35.7207 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 17:59:37.0844 | TRACE | Transliteration.ViewModels.SignInViewModel | User go to Sign Up page.
2018-10-26 17:59:56.9652 | INFO | Transliteration.ViewModels.SignUpViewModel | User try to Sign up.
2018-10-26 17:59:56.9652 | INFO | Transliteration.ViewModels.SignUpViewModel | User try to Sign up.
2018-10-26 17:59:56.9812 | INFO | Transliteration.ViewModels.SignUpViewModel | Try to add new user.
2018-10-26 17:59:56.9812 | INFO | Transliteration.ViewModels.SignUpViewModel | Try to add new user.
2018-10-26 17:59:59.6510 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 17:59:59.6560 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 17:59:59.6560 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 17:59:59.6560 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 17:59:59.6849 | TRACE | Transliteration.ViewModels.TranslitViewModels | Now another user can Sign In.
2018-10-26 18:00:04.3250 | TRACE | Transliteration.ViewModels.SignInViewModel | User enter wrong password.
2018-10-26 18:00:09.8446 | TRACE | Transliteration.ViewModels.SignInViewModel | User enter wrong password.
2018-10-26 18:00:15.9969 | TRACE | Transliteration.ViewModels.SignInViewModel | User enter wrong password.
2018-10-26 18:00:39.6838 | TRACE | Transliteration.ViewModels.SignInViewModel | User enter wrong password.
2018-10-26 18:00:42.3002 | TRACE | Transliteration.ViewModels.SignInViewModel | User go to Sign Up page.
2018-10-26 18:00:47.5240 | INFO | Transliteration.ViewModels.SignUpViewModel | User try to Sign up.
2018-10-26 18:00:47.5240 | INFO | Transliteration.ViewModels.SignUpViewModel | User try to Sign up.
2018-10-26 18:00:47.5349 | WARN | Transliteration.ViewModels.SignUpViewModel | Such user already exist.
2018-10-26 18:00:47.5349 | WARN | Transliteration.ViewModels.SignUpViewModel | Such user already exist.
2018-10-26 18:00:47.5349 | WARN | Transliteration.ViewModels.SignUpViewModel | Such user already exist.
2018-10-26 18:01:11.1949 | INFO | Transliteration.ViewModels.SignUpViewModel | User try to Sign up.
2018-10-26 18:01:11.1949 | INFO | Transliteration.ViewModels.SignUpViewModel | User try to Sign up.
2018-10-26 18:01:11.2049 | INFO | Transliteration.ViewModels.SignUpViewModel | Try to add new user.
2018-10-26 18:01:11.2049 | INFO | Transliteration.ViewModels.SignUpViewModel | Try to add new user.
2018-10-26 18:01:14.0588 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 18:01:14.0648 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 18:01:14.0648 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:01:14.0648 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:01:14.0898 | TRACE | Transliteration.ViewModels.TranslitViewModels | Now another user can Sign In.
2018-10-26 18:01:18.8516 | TRACE | Transliteration.ViewModels.SignInViewModel | User enter wrong password.
2018-10-26 18:01:30.4859 | TRACE | Transliteration.ViewModels.SignInViewModel | User go to Sign Up page.
2018-10-26 18:02:10.2267 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 18:02:10
2018-10-26 18:02:10.4700 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:02:10.4700 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:02:11.0792 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 18:02:12.5640 | TRACE | Transliteration.ViewModels.SignInViewModel | User go to Sign Up page.
2018-10-26 18:02:14.0607 | TRACE | Transliteration.ViewModels.SignUpViewModel | User back to Sign In page.
2018-10-26 18:02:14.0866 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:02:14.0866 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:02:36.5323 | TRACE | Transliteration.ViewModels.SignInViewModel | User enter wrong password.
2018-10-26 18:02:56.8918 | TRACE | Transliteration.ViewModels.SignInViewModel | User enter wrong password.
2018-10-26 18:03:27.3999 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 18:03:27
2018-10-26 18:03:27.6351 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:03:27.6351 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:03:28.2111 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 18:03:54.9466 | TRACE | Transliteration.ViewModels.SignInViewModel | User go to Translit page.
2018-10-26 18:03:57.1466 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 18:03:57.1466 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 18:03:57.1605 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:03:57.1605 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:03:57.1765 | TRACE | Transliteration.ViewModels.TranslitViewModels | Now another user can Sign In.
2018-10-26 18:04:06.6036 | TRACE | Transliteration.ViewModels.SignInViewModel | User enter wrong password.
2018-10-26 18:05:10.3253 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 18:05:10
2018-10-26 18:05:10.5244 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:05:10.5244 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:05:11.0964 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 18:06:04.1757 | TRACE | Transliteration.ViewModels.SignInViewModel | User enter wrong password.
2018-10-26 18:09:37.4763 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 18:09:37
2018-10-26 18:09:37.6777 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:09:37.6777 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:09:38.2357 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 18:09:46.2731 | TRACE | Transliteration.ViewModels.SignInViewModel | User go to Translit page.
2018-10-26 18:09:48.7458 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 18:09:48.7517 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 18:09:48.7797 | TRACE | Transliteration.ViewModels.TranslitViewModels | Now another user can Sign In.
2018-10-26 18:09:54.5424 | TRACE | Transliteration.ViewModels.SignInViewModel | User enter wrong password.
2018-10-26 18:10:08.4702 | TRACE | Transliteration.ViewModels.SignInViewModel | User enter wrong password.
2018-10-26 18:10:17.1883 | TRACE | Transliteration.ViewModels.SignInViewModel | User enter wrong password.
2018-10-26 18:12:21.6567 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 18:12:21
2018-10-26 18:12:21.8827 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:12:21.8827 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:12:22.4886 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 18:12:29.3817 | TRACE | Transliteration.ViewModels.SignInViewModel | User go to Translit page.
2018-10-26 18:12:30.5056 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 18:12:30.5056 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 18:12:30.5196 | TRACE | Transliteration.ViewModels.TranslitViewModels | Now another user can Sign In.
2018-10-26 18:12:37.1692 | TRACE | Transliteration.ViewModels.SignInViewModel | User enter wrong password.
2018-10-26 18:13:03.6301 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 18:13:03
2018-10-26 18:13:03.8812 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:13:03.8812 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 18:13:04.5170 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 18:13:05.5485 | TRACE | Transliteration.ViewModels.SignInViewModel | User go to Sign Up page.
