2018-10-27 21:18:37.2015 | TRACE | Transliteration.ViewModels.TranslitViewModels | Entered text finish to translit.
2018-10-27 21:18:37.2015 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of TranslitText property.
2018-10-27 21:18:37.4467 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-27 21:18:37.4526 | TRACE | Transliteration.ViewModels.TranslitViewModels | User enter text was translited and write to translits history.
2018-10-27 21:18:45.6590 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:18:47.0551 | TRACE | Transliteration.Tools.TranslitDictionary | Entered text start to translit.
2018-10-27 21:18:47.0650 | TRACE | Transliteration.ViewModels.TranslitViewModels | Entered text finish to translit.
2018-10-27 21:18:47.0650 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of TranslitText property.
2018-10-27 21:18:47.2610 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-27 21:18:47.2690 | TRACE | Transliteration.ViewModels.TranslitViewModels | User enter text was translited and write to translits history.
2018-10-27 21:18:48.0884 | TRACE | Transliteration.Tools.TranslitDictionary | Entered text start to translit.
2018-10-27 21:18:48.0974 | TRACE | Transliteration.ViewModels.TranslitViewModels | Entered text finish to translit.
2018-10-27 21:18:48.0974 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of TranslitText property.
2018-10-27 21:18:48.2208 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-27 21:18:48.2318 | TRACE | Transliteration.ViewModels.TranslitViewModels | User enter text was translited and write to translits history.
2018-10-27 21:20:03.9968 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 27.10.2018 21:20:03
2018-10-27 21:20:04.2028 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 21:20:04.2028 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
